Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
20/11/2021 00.00.00;Yogyakarta;Yogyakarta;2438,271;6,319
21/11/2021 00.00.00;Yogyakarta;Yogyakarta;2441,728;3,457
22/11/2021 00.00.00;Yogyakarta;Yogyakarta;2448,913;7,185
23/11/2021 00.00.00;Yogyakarta;Yogyakarta;2458,453;9,54
24/11/2021 00.00.00;Yogyakarta;Yogyakarta;2464,719;6,266
25/11/2021 00.00.00;Yogyakarta;Yogyakarta;2473,134;8,415
26/11/2021 00.00.00;Yogyakarta;Yogyakarta;2475,957;2,823
27/11/2021 00.00.00;Yogyakarta;Yogyakarta;2481,546;5,589
28/11/2021 00.00.00;Yogyakarta;Yogyakarta;2483,075;1,529
29/11/2021 00.00.00;Yogyakarta;Yogyakarta;2491,157;8,082
30/11/2021 00.00.00;Yogyakarta;Yogyakarta;2497,278;6,121
01/12/2021 00.00.00;Yogyakarta;Yogyakarta;2502,026;4,748
02/12/2021 00.00.00;Yogyakarta;Yogyakarta;2507,113;5,087
03/12/2021 00.00.00;Yogyakarta;Yogyakarta;2508,977;1,864
04/12/2021 00.00.00;Yogyakarta;Yogyakarta;2511,959;2,982
05/12/2021 00.00.00;Yogyakarta;Yogyakarta;2512,448;0,489
06/12/2021 00.00.00;Yogyakarta;Yogyakarta;2518,159;5,711
07/12/2021 00.00.00;Yogyakarta;Yogyakarta;2522,315;4,156
08/12/2021 00.00.00;Yogyakarta;Yogyakarta;2526,84;4,525
09/12/2021 00.00.00;Yogyakarta;Yogyakarta;2533,556;6,716
10/12/2021 00.00.00;Yogyakarta;Yogyakarta;2537,135;3,579
11/12/2021 00.00.00;Yogyakarta;Yogyakarta;2541,632;4,497
12/12/2021 00.00.00;Yogyakarta;Yogyakarta;2542,733;1,101
13/12/2021 00.00.00;Yogyakarta;Yogyakarta;2546,695;3,962
14/12/2021 00.00.00;Yogyakarta;Yogyakarta;2552,572;5,877
15/12/2021 00.00.00;Yogyakarta;Yogyakarta;2557,756;5,184
16/12/2021 00.00.00;Yogyakarta;Yogyakarta;2563,134;5,378
17/12/2021 00.00.00;Yogyakarta;Yogyakarta;2566,174;3,04
18/12/2021 00.00.00;Yogyakarta;Yogyakarta;2570,532;4,358
19/12/2021 00.00.00;Yogyakarta;Yogyakarta;2571,995;1,463
20/12/2021 00.00.00;Yogyakarta;Yogyakarta;2575,514;3,519
21/12/2021 00.00.00;Yogyakarta;Yogyakarta;2580,34;4,826
22/12/2021 00.00.00;Yogyakarta;Yogyakarta;2583,506;3,166
23/12/2021 00.00.00;Yogyakarta;Yogyakarta;2589,081;5,575
24/12/2021 00.00.00;Yogyakarta;Yogyakarta;2591,645;2,564
25/12/2021 00.00.00;Yogyakarta;Yogyakarta;2591,843;0,198
26/12/2021 00.00.00;Yogyakarta;Yogyakarta;2593,059;1,216
27/12/2021 00.00.00;Yogyakarta;Yogyakarta;2596,482;3,423
28/12/2021 00.00.00;Yogyakarta;Yogyakarta;2600,519;4,037
29/12/2021 00.00.00;Yogyakarta;Yogyakarta;2603,686;3,167
30/12/2021 00.00.00;Yogyakarta;Yogyakarta;2609,313;5,627
31/12/2021 00.00.00;Yogyakarta;Yogyakarta;2610,582;1,269
01/01/2022 00.00.00;Yogyakarta;Yogyakarta;2610,689;0,107
02/01/2022 00.00.00;Yogyakarta;Yogyakarta;2610,908;0,219
03/01/2022 00.00.00;Yogyakarta;Yogyakarta;2613,139;2,231
04/01/2022 00.00.00;Yogyakarta;Yogyakarta;2615,455;2,316
05/01/2022 00.00.00;Yogyakarta;Yogyakarta;2618,172;2,717
06/01/2022 00.00.00;Yogyakarta;Yogyakarta;2620,847;2,675
07/01/2022 00.00.00;Yogyakarta;Yogyakarta;2622,748;1,901
08/01/2022 00.00.00;Yogyakarta;Yogyakarta;2625,263;2,515
09/01/2022 00.00.00;Yogyakarta;Yogyakarta;2625,663;0,4
10/01/2022 00.00.00;Yogyakarta;Yogyakarta;2627,755;2,092
11/01/2022 00.00.00;Yogyakarta;Yogyakarta;2630,631;2,876
12/01/2022 00.00.00;Yogyakarta;Yogyakarta;2633,551;2,92
13/01/2022 00.00.00;Yogyakarta;Yogyakarta;2636,039;2,488
14/01/2022 00.00.00;Yogyakarta;Yogyakarta;2638,121;2,082
15/01/2022 00.00.00;Yogyakarta;Yogyakarta;2642,345;4,224
16/01/2022 00.00.00;Yogyakarta;Yogyakarta;2642,619;0,274
17/01/2022 00.00.00;Yogyakarta;Yogyakarta;2648,406;5,787
